tweetID,citCount,artID,postURL,postRT,postSumm,authName,authDescr,handle,post_authFoll,authCount,botornot,usrTyp,tweetAt,hashtag,likes,replies,retweets,
7823871,12,2533308,https://twitter.com/plasturgieweb/status/503906194042671105,plastechmag|,Direct Transformation of Edible Vegetable Waste into #bioplastics @ACSGCI http://t.co/Wrjhst6g6x http://t.co/49ychON0a6,PlasturgieComposites,"Compte officiel de l'Organisation Professionnelle  de la Fili«˘re #Plasturgie, #Composites, #Impression3D et #4D en Interr«∏gions: Plastalliance",plasturgieweb,2449,18,0,N/A,N/A,N/A,1,N/A,N/A,
6404224,0,2265213,http://twitter.com/cannyhighlander/status/453611212551774208,FlotsamDiaries|,Study suggests over 1 million pieces of lobster trap debris littering Florida Keys Natl Marine Sanctuary. http://t.co/t80ritstw1,Heather,"Love my kids, music & gardens, trees, sunsets, stones, beach's, books, junk, arty stuff, environmental stuff, friends, shared smiles & laughter...",cannyhighlander,6404,13,0,N/A,N/A,N/A,1,N/A,N/A,
5258760,2,2056978,http://twitter.com/arennys/status/425399906686488576,ClippertonTweet|,Disposable? Disposable you say? @GlobalGarbage: Occurrence/distribution of microplastics in sediments from Norderney http://t.co/kyAGD0W7of,arennys #lobovivo,Away from humans.. somewhere with wolves...,arennys,1088,11,0,N/A,N/A,N/A,1,N/A,N/A,
5224837,2,2049822,http://twitter.com/FabianoBarretto/status/425265776853917696,N/A,Leaching of plastic additives to marine organisms http://t.co/Icz4n9nzgI #marinelitter #marinedebris #BisphenolA,Fabiano Barretto,Project Manager of @GlobalGarbage. Tweets on #marinelitter #marinedebris #plasticpollution #plasticwaste #microplastics. https://www.facebook.com/GlobalGarbage,FabianoBarretto,694,18,0,N/A,N/A,N/A,1,N/A,N/A,
8196203,12,2604644,https://twitter.com/FabianoBarretto/status/499914716706537472,N/A,Marine litter ensemble transport simulations in the southern North Sea http://t.co/IvGsbx37j7 #marinedebris #marinelitter,Fabiano Barretto,Project Manager of @GlobalGarbage. Tweets on #marinelitter #marinedebris #plasticpollution #plasticwaste #microplastics. https://www.facebook.com/GlobalGarbage,FabianoBarretto,694,17,0,N/A,N/A,N/A,1,N/A,N/A,
7823870,12,2533308,https://twitter.com/BorisLimpopo/status/503876508516376576,N/A,"Un successo della ricerca italiana
""Direct Transformation of Edible Vegetable Waste into BioplasticsÉ?ù via @digg http://t.co/prWDo91wZu",Boris Limpopo,Elefantino curioso,BorisLimpopo,126,18,0,4,1,0,1,0,0,
6524384,0,2288168,http://twitter.com/BranXpina/status/457222599315963904,PLOSONE|,Documenting the Density of Subtidal Marine Debris across Multiple Marine and Coastal Habitats http://t.co/oX2JcUOWvi http://t.co/swdENvwP7P,Gill Raker,É??a politically unaffiliated and agnostic iconoclastÉ?› a skeptic and asocial lone-wolf with perhaps a spicy dash of intermittently explosive personality disorderÉ?›,BranXpina,221,17,0,4,0,0,1,0,0,
8799761,12,2718864,https://twitter.com/BragaGrande/status/515850849751695360,LixoMarinho|,Analysis of floating debris behaviour in the Nakdong River basin of the southern Korean peninsula using satellite http://t.co/RzTuabmNs7,Luis A. Braga Grande,"Meio Ambiente e Energia (environmental and energy news) Rio de Janeiro, Brasil",BragaGrande,267,18,0,4,0,0,2,0,0, 
8949125,12,2748924,https://twitter.com/Vertidos_Cero/status/519561368911872000,MarineDebris|,"Patterns of #marinedebris distribution on the beaches of Rottnest Island, Western Australia http://t.co/vo87ALWcOy",Vertidos Cero,"Non-profit organization: Researching, educating and acting to achieve the objective Zero Discharges on the soil, water and atmosphere",Vertidos_Cero,1121,19,0,2,0,1,2,0,0,
4875662,2,1992308,http://twitter.com/Algalita/status/413851277844439040,MarineDebris|,"When it comes to #plasticpollution particles, does size matter? Study on annual variation via @MarineDebris http://t.co/ERZt9iTVnX",Algalita,We're a nonprofit committed to solving the plastic pollution crisis in our oceans. We educate the public & conduct scientific research.,Algalita,1372,20,0,13,1,1,1,0,3,
4299943,1,1889689,http://twitter.com/Algalita/status/463416248697495552,N/A,What's going on in the guts of marine life? Check out this study on desorption rates of POPs via @sciencedirect http://t.co/s7SX9tX7MZ,Algalita,We're a nonprofit committed to solving the plastic pollution crisis in our oceans. We educate the public & conduct scientific research.,Algalita,1372,11,0,13,1,0,1,0,1,
5258764,7,2056978,http://twitter.com/CUSAatUCI/status/425325569274683392,MarineLitter|,Occurrence and spatial distribution of microplastics in sediments from Norderney http://t.co/XbOFmxRcjJ #marinelitter #marinedebris,CUSA,The Center for Unconventional Security Affairs addresses the human & environmental security challenges of the twenty-first century through research & education.,CUSAatUCI,309,11,0,13,0,1,1,0,0,
5205370,2,2046287,http://twitter.com/eXXpedition/status/424339716876808192,ChelseaRochman|,"Plastics and metals in the ocean, a hazardous combination. http://t.co/DVNLzzgd2P",eXXpedition,"All women's voyages to make the unseen seen, from the #toxics in our bodies to the toxics in our seas! Sailing aboard @panexplore Sea Dragon. #oceanoptimism",eXXpedition,598,16,0,13,0,0,1,0,0,
5798414,0,2147162,https://twitter.com/sostenibilidad/status/513985648882364416,AngelBorjaYerro|,Targets and acceptable levels of harm for marine litter to avoid impacts in large vertebrates within the MSFD http://t.co/Z2mdHSVerd,Sostenibilidad,"AZTI. Sostenibilidad de la cadena Alimentaria.
Sustainability of the Food Chain. Powered by @aztitecnalia 
(RT or share É?ˇ endorsement)",sostenibilidad,5086,20,0,13,0,0,1,0,0,
5224832,2,2049822,https://twitter.com/ExpeditionGyre/status/424302004580544512,N/A,What exactly is the exposure of aquatic species to chemicals residing in the ingested plastic?  Read onÉ?›... http://t.co/i80YCPB9M8,ExpeditionGyre,An international team journeys to Alaska to change our views on the most disturbing cultural artifacts of our time:  marine debris and plastic pollution.,ExpeditionGyre,79,18,0,13,0,0,1,0,0,
8776309,12,2713979,https://twitter.com/PrincetonWater/status/515478596371382272,N/A,"According to this study, a sieve along the Seine would net 27 tons of floating plastic debris per year http://t.co/q7fQLLI3h7",Water at Princeton,Immersed in research and news on water and environment at Princeton University and around the world,PrincetonWater,1395,12,0,13,0,1,13,0,0,
7823882,12,2533308,https://twitter.com/ACSSynBio/status/505046811246358528,N/A,Bioplastics from vegetable waste: http://t.co/1OMHRdQJlf  @Macro_ACS,ACS Synthetic Bio,"ACS Synthetic Biology, the rapid publication forum for research in synthetic biology and systems bioscience.",ACSSynBio,2673,18,0,12,1,0,1,0,0,
9595158,5,2889631,https://twitter.com/EnvSciTech/status/566371465919205377,N/A,Read recent @UMD_AGNR research on #microplastics in the #environment http://t.co/sCctNMGOAZ,Env Sci & Tech,"Objective reports and analyses of the major advances, trends, and challenges in environmental science, technology, and policy",EnvSciTech,2667,18,0,12,1,1,2,2,1,
7783476,12,2526791,https://twitter.com/SpringerGeo/status/492851939781382144,N/A,Sources of plastic marine debris on beaches of Korea: More from the ocean than the land http://t.co/2SiLuCOnO5 via @marinedebris,Geo at Springer,"Latest news and updates from Springer Earth Sciences, Geography and Environment.",SpringerGeo,1420,9,0,12,1,0,1,0,0,
6560332,0,2295480,http://twitter.com/AquaticSciences/status/460726878634913792,SharkDevocean|,Paper: Dolphin feeding habits account for differences in plastic consumption. Seabed main debris accumulation zone http://t.co/bS8XkixIhE,Elsevier,"Official page for Elsevier Aquatic Sciences. Research and news on Water Resources, Marine & Freshwater biology, Fisheries, Aquaculture, Hydrology, Oceanography",AquaticSciences,3008,18,0,12,0,0,1,0,0,
7401743,12,2459469,https://twitter.com/PLOSONE/status/481482796158812160,microecolab|,Our new PLoS One paper demonstrates that trash in urban rivers represents an abundant and distinct microbial habitat  http://t.co/N4wTuMoveD,PLOS ONE,"PLOS ONE is an international, peer-reviewed, open-access, online publication. Tweets by @mtdohm",PLOSONE,63897,21,0,12,0,0,1,0,0,
5205360,2,2046287,http://twitter.com/PLOSONE/status/423859201840926720,ChelseaRochman|,"Plastics and metals in the ocean, a hazardous combination. http://t.co/DVNLzzgd2P",PLOS ONE,"PLOS ONE is an international, peer-reviewed, open-access, online publication. Tweets by @mtdohm",PLOSONE,64403,16,0,12,0,0,1,0,0,
5033752,2,2015390,http://twitter.com/AquaticSciences/status/418683312019095552,N/A,Interaction between loggerhead sea turtles (Caretta caretta) &amp; marine litter in Sardinia (Western Mediterranean Sea): http://t.co/1ojhzMKN5J,Elsevier,"Official page for Elsevier Aquatic Sciences. Research and news on Water Resources, Marine & Freshwater biology, Fisheries, Aquaculture, Hydrology, Oceanography",AquaticSciences,2964,9,0,12,0,0,1,0,0,
